system,li,ui,p95,count
bookstore_nodejs, 30.0, 30.0 , 30 , 618
bookstore_nodejs, 35.0, 35.0 , 35 , 628
bookstore_nodejs, 15457.0, 15467.0 , 15461.5 , 431
bookstore_nodejs, 34.0, 38.0 , 35.5 , 430
bookstore_nodejs, 53.0, 58.0 , 53 , 424
bookstore_nodejs, 2260.0, 2277.0 , 2262.5 , 1794
bookstore_nodejs, 32.0, 32.0 , 32 , 1798
bookstore_nodejs, 42.0, 43.0 , 42 , 1850
bookstore_nodejs, 6592.0, 6629.0 , 6593.5 , 864
bookstore_nodejs, 29.0, 29.0 , 29 , 859
bookstore_nodejs, 40.0, 41.0 , 40 , 875
bookstore_nodejs, 1026.0, 1042.0 , 1029.5 , 1765
bookstore_nodejs, 948.0, 962.0 , 950 , 1765
bookstore_nodejs, 925.0, 947.0 , 929.5 , 1821
bookstore_nodejs, 41.0, 41.0 , 41 , 1569
bookstore_nodejs, 4691.0, 4694.0 , 4692.5 , 1526
bookstore_nodejs, 34.0, 34.0 , 34 , 1521
bookstore_nodejs, 772.0, 782.0 , 773.5 , 1770
bookstore_nodejs, 1171.0, 1191.0 , 1174.5 , 1784
bookstore_nodejs, 1189.0, 1207.0 , 1191 , 1823
bookstore_nodejs, 17299.0, 17309.0 , 17301 , 387
bookstore_nodejs, 29.0, 29.0 , 29 , 390
bookstore_nodejs, 40.0, 41.0 , 39.5 , 382
bookstore_nodejs, 17077.0, 17116.0 , 17091 , 428
bookstore_nodejs, 81.0, 89.0 , 78 , 421
bookstore_nodejs, 101.0, 106.0 , 101.5 , 403
bookstore_nodejs, 12055.0, 12062.0 , 12057 , 546
bookstore_nodejs, 33.0, 38.0 , 33.5 , 529
bookstore_nodejs, 52.0, 53.0 , 52 , 527
bookstore_nodejs, 11812.0, 11844.0 , 11827 , 557
bookstore_nodejs, 58.0, 59.0 , 58.5 , 548
bookstore_nodejs, 69.0, 73.0 , 69.5 , 547
bookstore_nodejs, 10942.0, 10951.0 , 10943 , 590
bookstore_nodejs, 37.0, 39.0 , 37 , 572
bookstore_nodejs, 47.0, 51.0 , 47.5 , 581
bookstore_nodejs, 13042.0, 13053.0 , 13042.5 , 505
bookstore_nodejs, 29.0, 30.0 , 29 , 488
bookstore_nodejs, 39.0, 40.0 , 39 , 477
bookstore_nodejs, 7791.0, 7801.0 , 7794.5 , 871
